Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave AIM Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"384","Unassigned","Ansal Housing Ltd","https://ansals.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Ansal_Housing_Ltd/screenshots/Ansal_Housing_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ansal Housing Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"385","Unassigned","Computer Point Ltd","https://computerpoint.ac.in","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Computer_Point_Ltd/screenshots/Computer_Point_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Computer Point Ltd)","Company Secretary & Compliance Officer","info@computerpoint.ac.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@computerpoint.ac.in"
"386","Unassigned","Addi Industries Ltd","https://addictinggames.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Addi_Industries_Ltd/screenshots/Addi_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Addi Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"387","Unassigned","Unitech Ltd","https://unitech-mo.ru","Yes","Yes","Yes","1 out of 10","36","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Unitech_Ltd/screenshots/Unitech_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Unitech Ltd)","Company Secretary & Compliance Officer","media@ut-mo.ru","General Contact Email","Managing Director / CEO","media@ut-mo.ru"
"388","Unassigned","VIP Industries Ltd","https://vippers.jp","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/VIP_Industries_Ltd/screenshots/VIP_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (VIP Industries Ltd)","Company Secretary & Compliance Officer","info@vippers.jp","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@vippers.jp"
"389","Unassigned","Fiberweb India Ltd","https://fiberweb.co.za","Yes","Yes","Yes","1 out of 10","27","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Fiberweb_India_Ltd/screenshots/Fiberweb_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Fiberweb India Ltd)","Company Secretary & Compliance Officer","info@fiberweb.co.za","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@fiberweb.co.za"
"390","Unassigned","Gyftr Ltd","https://gyftr.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Gyftr_Ltd/screenshots/Gyftr_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Gyftr Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"391","Unassigned","East Buildtech Ltd","https://ebl.co.in","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/East_Buildtech_Ltd/screenshots/East_Buildtech_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (East Buildtech Ltd)","Company Secretary & Compliance Officer","contact@ebl.co.in","Investor Grievance / Compliance Officer Email","Managing Director / CEO","beetalrta@gmail.com"
"392","Unassigned","Manipal Finance Corporation Ltd","https://manipal.edu","Yes","Yes","Yes","1 out of 10","54","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Manipal_Finance_Corporation_Ltd/screenshots/Manipal_Finance_Corporation_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Manipal Finance Corporation Ltd)","Company Secretary & Compliance Officer","info@manipal.edu","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@manipal.edu"
"393","Unassigned","Bajaj Steel Industries Ltd","https://bajajngp.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Bajaj_Steel_Industries_Ltd/screenshots/Bajaj_Steel_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bajaj Steel Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"394","Unassigned","Key Corporation Ltd","https://key.com","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Key_Corporation_Ltd/screenshots/Key_Corporation_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Key Corporation Ltd)","Company Secretary & Compliance Officer","info@key.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@key.com"
"395","Unassigned","Gujarat Hotels Ltd","https://gujarathotelsltd.in","Yes","Yes","Yes","6.3 out of 10","5","80","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Gujarat_Hotels_Ltd/screenshots/Gujarat_Hotels_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Gujarat Hotels Ltd)","Company Secretary & Compliance Officer","investors@gujarathotelsltd.com","General Contact Email","Managing Director / CEO","investors@gujarathotelsltd.com"
"396","Unassigned","Fynx Capital Ltd","https://fynxt.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Fynx_Capital_Ltd/screenshots/Fynx_Capital_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Fynx Capital Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"397","Unassigned","Ras Resorts & Apart Hotels Ltd","https://rasresorts.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Ras_Resorts___Apart_Hotels_Ltd/screenshots/Ras_Resorts___Apart_Hotels_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ras Resorts & Apart Hotels Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"398","Unassigned","Jolly Plastic Industries Ltd","https://jollyplastic.com","Yes","Yes","Yes","1 out of 10","23","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Jolly_Plastic_Industries_Ltd/screenshots/Jolly_Plastic_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jolly Plastic Industries Ltd)","Company Secretary & Compliance Officer","mail@jollyplastic.com","General Contact Email","Managing Director / CEO","mail@jollyplastic.com"
"399","Unassigned","Paramount Cosmetics India Ltd","https://parammount.com","Yes","Yes","Yes","4.3 out of 10","8","68","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Paramount_Cosmetics_India_Ltd/screenshots/Paramount_Cosmetics_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Paramount Cosmetics India Ltd)","Company Secretary & Compliance Officer","consumercare@parammount.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","compliance@parcos.in"
"400","Unassigned","Jupiter Industries & Leasing Ltd","https://jupiterindustries.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Jupiter_Industries___Leasing_Ltd/screenshots/Jupiter_Industries___Leasing_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jupiter Industries & Leasing Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"401","Unassigned","Simmonds Marshall Ltd","https://simmondsmarshall.com","Yes","No","No","7 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Simmonds_Marshall_Ltd/screenshots/Simmonds_Marshall_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Simmonds Marshall Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"402","Unassigned","B & A Ltd","https://booking.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/B___A_Ltd/screenshots/B___A_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (B & A Ltd)","Company Secretary & Compliance Officer","customer.service@booking.com","General Contact Email","Managing Director / CEO","customer.service@booking.com"
"403","Unassigned","Hawkins Cookers Ltd","https://hawkinscookers.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Hawkins_Cookers_Ltd/screenshots/Hawkins_Cookers_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hawkins Cookers Ltd)","Company Secretary & Compliance Officer","info@hawkinscookers.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@hawkinscookers.com"
"404","Unassigned","Warren Tea Ltd","https://warrentea.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Warren_Tea_Ltd/screenshots/Warren_Tea_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Warren Tea Ltd)","Company Secretary & Compliance Officer","info@warrentea.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@warrentea.com"
"405","Unassigned","Cochin Malabar Estates & Industries Ltd","https://cochinmalabar.in","Yes","Yes","Yes","1 out of 10","15","40","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Cochin_Malabar_Estates___Industries_Ltd/screenshots/Cochin_Malabar_Estates___Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Cochin Malabar Estates & Industries Ltd)","Company Secretary & Compliance Officer","cochinmalabar@yahoo.com","General Contact Email","Managing Director / CEO","cochinmalabar@yahoo.com"
"406","Unassigned","Neelamalai Agro Industries Ltd","https://neelamalaiagro.com","Yes","Yes","Yes","5.8 out of 10","6","76","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Neelamalai_Agro_Industries_Ltd/screenshots/Neelamalai_Agro_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Neelamalai Agro Industries Ltd)","Company Secretary & Compliance Officer","info@neelamalaiagro.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","info@neelamalaiagro.com"
"407","Unassigned","I S T Ltd","https://ist.co.uk","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/I_S_T_Ltd/screenshots/I_S_T_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (I S T Ltd)","Company Secretary & Compliance Officer","info@ist.co.uk","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@ist.co.uk"
"408","Unassigned","Cosmo First Ltd","https://cosmofirst.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Cosmo_First_Ltd/screenshots/Cosmo_First_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Cosmo First Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"409","Unassigned","Apollo Hospitals Enterprise Ltd","https://apollohospitals.com","Yes","Yes","Yes","1 out of 10","95","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Apollo_Hospitals_Enterprise_Ltd/screenshots/Apollo_Hospitals_Enterprise_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Apollo Hospitals Enterprise Ltd)","Company Secretary & Compliance Officer","info@apollohospitals.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@apollohospitals.com"
"410","Unassigned","Nitin Castings Ltd","https://nitincastings.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Nitin_Castings_Ltd/screenshots/Nitin_Castings_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Nitin Castings Ltd)","Company Secretary & Compliance Officer","salesnagl@nitincastings.com","General Contact Email","Managing Director / CEO","salesnagl@nitincastings.com"
"411","Unassigned","Everest Industries Ltd","https://everestgrp.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Everest_Industries_Ltd/screenshots/Everest_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Everest Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"412","Unassigned","AYM Syntex Ltd","https://aymsyntex.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/AYM_Syntex_Ltd/screenshots/AYM_Syntex_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (AYM Syntex Ltd)","Company Secretary & Compliance Officer","info@aymgroup.com","General Contact Email","Managing Director / CEO","info@aymgroup.com"
"413","Unassigned","HB Leasing & Finance Company Ltd","https://hbleasingkent.co.uk","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/HB_Leasing___Finance_Company_Ltd/screenshots/HB_Leasing___Finance_Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HB Leasing & Finance Company Ltd)","Company Secretary & Compliance Officer","info@hbleasingkent.co.uk","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@hbleasingkent.co.uk"
"414","Unassigned","Shricon Industries Ltd","https://shriconsultant.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Shricon_Industries_Ltd/screenshots/Shricon_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Shricon Industries Ltd)","Company Secretary & Compliance Officer","info@shriconsultant.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@shriconsultant.com"
"415","Unassigned","Sulabh Engineers & Services Ltd","https://sulabh.org.in","Yes","Yes","Yes","7.8 out of 10","3","88","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Sulabh_Engineers___Services_Ltd/screenshots/Sulabh_Engineers___Services_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Sulabh Engineers & Services Ltd)","Company Secretary & Compliance Officer","sulabheng22@gmail.com","General Contact Email","Managing Director / CEO","sulabheng22@gmail.com"
"416","Unassigned","Frontier Capital Ltd","https://flyfrontier.com","Yes","Yes","Yes","4.3 out of 10","8","68","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Frontier_Capital_Ltd/screenshots/Frontier_Capital_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Frontier Capital Ltd)","Company Secretary & Compliance Officer","info@flyfrontier.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@flyfrontier.com"
"417","Unassigned","Thakral Services India Ltd","https://thakralone.com","Yes","Yes","Yes","1 out of 10","29","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Thakral_Services_India_Ltd/screenshots/Thakral_Services_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Thakral Services India Ltd)","Company Secretary & Compliance Officer","info@thakralone.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@thakralone.com"
"418","Unassigned","Golden Legand Leasing & finance Ltd","https://gllfl.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Golden_Legand_Leasing___finance_Ltd/screenshots/Golden_Legand_Leasing___finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Golden Legand Leasing & finance Ltd)","Company Secretary & Compliance Officer","contactus@gllfl.com","General Contact Email","Managing Director / CEO","contactus@gllfl.com"
"419","Unassigned","Netlink Solutions India Ltd","https://netlink.com","Yes","Yes","Yes","1 out of 10","26","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Netlink_Solutions_India_Ltd/screenshots/Netlink_Solutions_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Netlink Solutions India Ltd)","Company Secretary & Compliance Officer","info@netlink.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@netlink.com"
"420","Unassigned","Lancor Holdings Ltd","https://lancor.es","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Lancor_Holdings_Ltd/screenshots/Lancor_Holdings_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Lancor Holdings Ltd)","Company Secretary & Compliance Officer","lancor@lancor.es","General Contact Email","Managing Director / CEO","lancor@lancor.es"
"421","Unassigned","Banas Finance Ltd","https://banasthali.org","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Banas_Finance_Ltd/screenshots/Banas_Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Banas Finance Ltd)","Company Secretary & Compliance Officer","info@banasthali.org","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@banasthali.org"
"422","Unassigned","Visaka Industries Ltd","https://visakai.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Visaka_Industries_Ltd/screenshots/Visaka_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Visaka Industries Ltd)","Company Secretary & Compliance Officer","info@visakai.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@visakai.com"
"423","Unassigned","GRP Ltd","https://grp.com.sg","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/GRP_Ltd/screenshots/GRP_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (GRP Ltd)","Company Secretary & Compliance Officer","investor@grp.com.sg","General Contact Email","Managing Director / CEO","investor@grp.com.sg"
"424","Unassigned","Indag Rubber Ltd","https://indagrubber.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Indag_Rubber_Ltd/screenshots/Indag_Rubber_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Indag Rubber Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"425","Unassigned","PTL Enterprises Ltd","https://lamongenergi.co.id","Yes","Yes","Yes","1 out of 10","31","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/PTL_Enterprises_Ltd/screenshots/PTL_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (PTL Enterprises Ltd)","Company Secretary & Compliance Officer","info@lamongenergi.co.id","General Contact Email","Managing Director / CEO","info@lamongenergi.co.id"
"426","Unassigned","Sanathnagar Enterprises Ltd","https://sanathnagar.in","Yes","Yes","Yes","7.8 out of 10","3","88","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Sanathnagar_Enterprises_Ltd/screenshots/Sanathnagar_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Sanathnagar Enterprises Ltd)","Company Secretary & Compliance Officer","investors.sel@lodhagroup.com","General Contact Email","Managing Director / CEO","investors.sel@lodhagroup.com"
"427","Unassigned","Cravatex Ltd","https://cravatex.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Cravatex_Ltd/screenshots/Cravatex_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Cravatex Ltd)","Company Secretary & Compliance Officer","info@cravatex.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","Investor.helpdesk@in.mpms.mufg.com"
"428","Unassigned","Caprihans India Ltd","https://caprihansindia.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Caprihans_India_Ltd/screenshots/Caprihans_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Caprihans India Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
