[2026-08-02T05:32:28.525Z] COMPANY: "SEBI Official" | QUERIES: ["SEBI Official" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1474ms | REASON: Resolved via self-search
[2026-08-02T05:52:22.285Z] COMPANY: "PHI CAPITAL TRUST" | QUERIES: ["PHI CAPITAL TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24004ms | REASON: Resolved via self-search
[2026-08-02T05:52:36.766Z] COMPANY: "EDELWEISS MF" | QUERIES: ["EDELWEISS MF" official website] | CANDIDATES: [https://www.edelweissmf.com] | SELECTED: "https://www.edelweissmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:52:36.952Z] COMPANY: "NAVI MUTUAL FUND" | QUERIES: ["NAVI MUTUAL FUND" official website] | CANDIDATES: [https://www.navimutualfund.com] | SELECTED: "https://www.navimutualfund.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:52:46.287Z] COMPANY: "SPRING HEALTHCARE INDIA TRUST" | QUERIES: ["SPRING HEALTHCARE INDIA TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:52:46.690Z] COMPANY: "FRANKLIN TEMPLETON MF" | QUERIES: ["FRANKLIN TEMPLETON MF" official website] | CANDIDATES: [https://www.franklintempletonindia.com] | SELECTED: "https://www.franklintempletonindia.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:53:02.486Z] COMPANY: "HDFC MF" | QUERIES: ["HDFC MF" official website] | CANDIDATES: [https://www.hdfcfund.com] | SELECTED: "https://www.hdfcfund.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:53:02.724Z] COMPANY: "ICICI PRUDENTIAL MF" | QUERIES: ["ICICI PRUDENTIAL MF" official website] | CANDIDATES: [https://www.icicipruamc.com] | SELECTED: "https://www.icicipruamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:53:10.289Z] COMPANY: "INDIA REALTY FUND 1" | QUERIES: ["INDIA REALTY FUND 1" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:53:34.293Z] COMPANY: "ENAM INDIA INFRASTRUCTURE FUND" | QUERIES: ["ENAM INDIA INFRASTRUCTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24004ms | REASON: Resolved via self-search
[2026-08-02T05:53:53.373Z] COMPANY: "IDBI MUTUAL FUND" | QUERIES: ["IDBI MUTUAL FUND" official website] | CANDIDATES: [https://www.idbimutual.co.in] | SELECTED: "https://www.idbimutual.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:53:58.295Z] COMPANY: "INDIA PLUS TRUST" | QUERIES: ["INDIA PLUS TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:54:19.485Z] COMPANY: "IIFCL MF (IDF)" | QUERIES: ["IIFCL MF (IDF)" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:54:19.486Z] COMPANY: "360 ONE Mutual Fund" | QUERIES: ["360 ONE Mutual Fund" official website] | CANDIDATES: [https://mf.360.one] | SELECTED: "https://mf.360.one" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:54:22.298Z] COMPANY: "LICHFL Fund" | QUERIES: ["LICHFL Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:54:26.892Z] COMPANY: "IL&FS IDF MF" | QUERIES: ["IL&FS IDF MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:54:26.892Z] COMPANY: "Groww Mutual Fund" | QUERIES: ["Groww Mutual Fund" official website] | CANDIDATES: [https://groww.in/mutual-funds] | SELECTED: "https://groww.in/mutual-funds" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:54:46.299Z] COMPANY: "SBI MACQUARIE INFRASTRUCTURE TRUST" | QUERIES: ["SBI MACQUARIE INFRASTRUCTURE TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:54:49.325Z] COMPANY: "Invesco Mutual Fund" | QUERIES: ["Invesco Mutual Fund" official website] | CANDIDATES: [https://www.invescomutualfund.com] | SELECTED: "https://www.invescomutualfund.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:55:01.416Z] COMPANY: "ITI Mutual Fund" | QUERIES: ["ITI Mutual Fund" official website] | CANDIDATES: [https://www.itimf.com] | SELECTED: "https://www.itimf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:55:10.302Z] COMPANY: "FAERING CAPITAL INDIA EVOLVING FUND" | QUERIES: ["FAERING CAPITAL INDIA EVOLVING FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:55:17.215Z] COMPANY: "JM FINANCIAL MF" | QUERIES: ["JM FINANCIAL MF" official website] | CANDIDATES: [https://www.jmfinancialmf.com] | SELECTED: "https://www.jmfinancialmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:55:33.269Z] COMPANY: "Kotak Mutual Fund" | QUERIES: ["Kotak Mutual Fund" official website] | CANDIDATES: [https://www.kotakmf.com] | SELECTED: "https://www.kotakmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:55:34.304Z] COMPANY: "TCG INDIA FUND" | QUERIES: ["TCG INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T05:55:49.900Z] COMPANY: "LIC MF" | QUERIES: ["LIC MF" official website] | CANDIDATES: [https://www.licmf.com] | SELECTED: "https://www.licmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:55:58.308Z] COMPANY: "INDIA EDUCATION FUND" | QUERIES: ["INDIA EDUCATION FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24004ms | REASON: Resolved via self-search
[2026-08-02T05:56:22.312Z] COMPANY: "OMAN INDIA JOINT INVESTMENT FUND" | QUERIES: ["OMAN INDIA JOINT INVESTMENT FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24004ms | REASON: Resolved via self-search
[2026-08-02T05:56:39.643Z] COMPANY: "MIRAE ASSET MF" | QUERIES: ["MIRAE ASSET MF" official website] | CANDIDATES: [https://www.miraeassetmf.co.in] | SELECTED: "https://www.miraeassetmf.co.in" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:56:46.315Z] COMPANY: "SGR ACHIEVERS FUND" | QUERIES: ["SGR ACHIEVERS FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:56:58.656Z] COMPANY: "MOTILAL OSWAL MF" | QUERIES: ["MOTILAL OSWAL MF" official website] | CANDIDATES: [https://www.motilaloswalmf.com] | SELECTED: "https://www.motilaloswalmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:57:04.845Z] COMPANY: "PPFAS MF" | QUERIES: ["PPFAS MF" official website] | CANDIDATES: [https://amc.ppfas.com] | SELECTED: "https://amc.ppfas.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:57:10.319Z] COMPANY: "ACCESS INDIA FUND" | QUERIES: ["ACCESS INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T05:57:16.886Z] COMPANY: "Quant Mutual Fund" | QUERIES: ["Quant Mutual Fund" official website] | CANDIDATES: [https://www.quantmutual.com] | SELECTED: "https://www.quantmutual.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:57:27.242Z] COMPANY: "QUANTUM MF" | QUERIES: ["QUANTUM MF" official website] | CANDIDATES: [https://www.quantumamc.com] | SELECTED: "https://www.quantumamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:57:34.324Z] COMPANY: "THE INFINITY INNOVATION FUND" | QUERIES: ["THE INFINITY INNOVATION FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24005ms | REASON: Resolved via self-search
[2026-08-02T05:57:42.042Z] COMPANY: "Nippon India Mutual Fund" | QUERIES: ["Nippon India Mutual Fund" official website] | CANDIDATES: [https://mf.nipponindiaim.com] | SELECTED: "https://mf.nipponindiaim.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:57:56.301Z] COMPANY: "SBI MF" | QUERIES: ["SBI MF" official website] | CANDIDATES: [https://www.sbimf.com] | SELECTED: "https://www.sbimf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:57:58.325Z] COMPANY: "Business Excellence Trust II" | QUERIES: ["Business Excellence Trust II" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T05:58:13.066Z] COMPANY: "SHRIRAM MF" | QUERIES: ["SHRIRAM MF" official website] | CANDIDATES: [https://www.shriramamc.com] | SELECTED: "https://www.shriramamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:58:20.674Z] COMPANY: "SUNDARAM MF" | QUERIES: ["SUNDARAM MF" official website] | CANDIDATES: [https://www.sundarammutual.com] | SELECTED: "https://www.sundarammutual.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:58:22.326Z] COMPANY: "TARA INDIA FUND IV TRUST" | QUERIES: ["TARA INDIA FUND IV TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:58:34.761Z] COMPANY: "TAURUS MF" | QUERIES: ["TAURUS MF" official website] | CANDIDATES: [https://www.taurusmutualfund.com] | SELECTED: "https://www.taurusmutualfund.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:58:46.062Z] COMPANY: "Union Mutual Fund" | QUERIES: ["Union Mutual Fund" official website] | CANDIDATES: [https://www.unionmf.com] | SELECTED: "https://www.unionmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:58:46.326Z] COMPANY: "IDFC S.P.I.C.E. FUND" | QUERIES: ["IDFC S.P.I.C.E. FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T05:59:10.328Z] COMPANY: "MILESTONE INDIA GROWTH FUND" | QUERIES: ["MILESTONE INDIA GROWTH FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:59:10.553Z] COMPANY: "UTI  MF" | QUERIES: ["UTI  MF" official website] | CANDIDATES: [https://www.utimf.com] | SELECTED: "https://www.utimf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:59:24.447Z] COMPANY: "WhiteOak Capital Mutual Fund" | QUERIES: ["WhiteOak Capital Mutual Fund" official website] | CANDIDATES: [https://www.whiteoakamc.com] | SELECTED: "https://www.whiteoakamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:59:32.023Z] COMPANY: "TRUST MUTUAL FUND" | QUERIES: ["TRUST MUTUAL FUND" official website] | CANDIDATES: [https://www.trustmf.com] | SELECTED: "https://www.trustmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:59:34.329Z] COMPANY: "ASIA PACIFIC HEALTHCARE ADVISORS PRIVATE LIMITED" | QUERIES: ["ASIA PACIFIC HEALTHCARE ADVISORS PRIVATE LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:59:44.827Z] COMPANY: "HSBC MF" | QUERIES: ["HSBC MF" official website] | CANDIDATES: [https://www.assetmanagement.hsbc.co.in] | SELECTED: "https://www.assetmanagement.hsbc.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T05:59:58.330Z] COMPANY: "KAE CAPITAL FUND" | QUERIES: ["KAE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T05:59:59.284Z] COMPANY: "Tata Mutual Fund" | QUERIES: ["Tata Mutual Fund" official website] | CANDIDATES: [https://www.tatamutualfund.com] | SELECTED: "https://www.tatamutualfund.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:00:15.809Z] COMPANY: "Mahindra Manulife Mutual Fund" | QUERIES: ["Mahindra Manulife Mutual Fund" official website] | CANDIDATES: [https://www.mahindramanulife.com] | SELECTED: "https://www.mahindramanulife.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:00:22.333Z] COMPANY: "KARNATAKA VENTURE CAPITAL FUND" | QUERIES: ["KARNATAKA VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T06:00:26.170Z] COMPANY: "N J Mutual Fund" | QUERIES: ["N J Mutual Fund" official website] | CANDIDATES: [https://www.njmutualfund.com] | SELECTED: "https://www.njmutualfund.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:00:37.688Z] COMPANY: "SAMCO MUTUAL FUND" | QUERIES: ["SAMCO MUTUAL FUND" official website] | CANDIDATES: [https://www.samco.mf.in] | SELECTED: "https://www.samco.mf.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:00:45.992Z] COMPANY: "BAJAJ FINSERV MUTUAL FUND" | QUERIES: ["BAJAJ FINSERV MUTUAL FUND" official website] | CANDIDATES: [https://www.bajajfinservamc.com] | SELECTED: "https://www.bajajfinservamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:00:46.337Z] COMPANY: "REDWOODS CAPITAL TRUST" | QUERIES: ["REDWOODS CAPITAL TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T06:00:52.184Z] COMPANY: "Helios Mutual Fund" | QUERIES: ["Helios Mutual Fund" official website] | CANDIDATES: [https://www.helioscapital.in] | SELECTED: "https://www.helioscapital.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:01:10.337Z] COMPANY: "DHFL VENTURE CAPITAL TRUST" | QUERIES: ["DHFL VENTURE CAPITAL TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T06:01:16.590Z] COMPANY: "Zerodha Mutual Fund" | QUERIES: ["Zerodha Mutual Fund" official website] | CANDIDATES: [https://zerodhafundhouse.com] | SELECTED: "https://zerodhafundhouse.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:01:24.962Z] COMPANY: "Old Bridge Mutual Fund" | QUERIES: ["Old Bridge Mutual Fund" official website] | CANDIDATES: [https://www.oldbridgemf.com] | SELECTED: "https://www.oldbridgemf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:01:34.339Z] COMPANY: "ASK PRAVI PRIVATE EQUITY OPPORTUNITIES FUND" | QUERIES: ["ASK PRAVI PRIVATE EQUITY OPPORTUNITIES FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T06:01:39.417Z] COMPANY: "Bandhan Mutual Fund" | QUERIES: ["Bandhan Mutual Fund" official website] | CANDIDATES: [https://bandhanmutual.com] | SELECTED: "https://bandhanmutual.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:01:54.991Z] COMPANY: "Unifi Mutual Fund" | QUERIES: ["Unifi Mutual Fund" official website] | CANDIDATES: [https://www.unifimf.com] | SELECTED: "https://www.unifimf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:01:58.340Z] COMPANY: "INDIA ALPHA TRUST" | QUERIES: ["INDIA ALPHA TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T06:02:08.124Z] COMPANY: "Angel One Mutual Fund" | QUERIES: ["Angel One Mutual Fund" official website] | CANDIDATES: [https://www.angelonemf.com] | SELECTED: "https://www.angelonemf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:02:16.837Z] COMPANY: "Capitalmind Mutual Fund" | QUERIES: ["Capitalmind Mutual Fund" official website] | CANDIDATES: [https://capitalmindmf.com] | SELECTED: "https://capitalmindmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:02:22.341Z] COMPANY: "NEXT ORBIT VENTURES FUND" | QUERIES: ["NEXT ORBIT VENTURES FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T06:02:32.717Z] COMPANY: "Jio BlackRock Mutual Fund" | QUERIES: ["Jio BlackRock Mutual Fund" official website] | CANDIDATES: [https://www.jioblackrockamc.com] | SELECTED: "https://www.jioblackrockamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:02:44.967Z] COMPANY: "The Wealth Company Mutual Fund" | QUERIES: ["The Wealth Company Mutual Fund" official website] | CANDIDATES: [https://www.thewealthcompany.in] | SELECTED: "https://www.thewealthcompany.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:02:46.342Z] COMPANY: "ORANGE VENTURE CAPITAL TRUST" | QUERIES: ["ORANGE VENTURE CAPITAL TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T06:03:10.345Z] COMPANY: "INDIA ALTERNATIVES PRIVATE EQUITY FUND" | QUERIES: ["INDIA ALTERNATIVES PRIVATE EQUITY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T06:03:10.345Z] COMPANY: "KARNATAKA INFORMATION TECHOLOGY VENTURE CAPITAL FUND-2" | QUERIES: ["KARNATAKA INFORMATION TECHOLOGY VENTURE CAPITAL FUND-2" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T06:03:19.885Z] COMPANY: "Choice Mutual Fund" | QUERIES: ["Choice Mutual Fund" official website] | CANDIDATES: [https://mf.choiceindia.com] | SELECTED: "https://mf.choiceindia.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:03:30.154Z] COMPANY: "Abakkus Mutual Fund" | QUERIES: ["Abakkus Mutual Fund" official website] | CANDIDATES: [https://www.abakkusamc.com] | SELECTED: "https://www.abakkusamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:03:34.347Z] COMPANY: "True North Fund" | QUERIES: ["True North Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T06:03:37.370Z] COMPANY: "ASK Mutual Fund" | QUERIES: ["ASK Mutual Fund" official website] | CANDIDATES: [https://www.askmf.com] | SELECTED: "https://www.askmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:03:43.115Z] COMPANY: "AlphaGrep Mutual Fund" | QUERIES: ["AlphaGrep Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:03:43.116Z] COMPANY: "WEALTH FIRST PORTFOLIO MANAGERS LIMITED" | QUERIES: ["WEALTH FIRST PORTFOLIO MANAGERS LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:03:43.116Z] COMPANY: "Monarch Networth Capital Limited" | QUERIES: ["Monarch Networth Capital Limited" official website] | CANDIDATES: [https://www.mnclgroup.com] | SELECTED: "https://www.mnclgroup.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:03:58.353Z] COMPANY: "Eco-Net Fund" | QUERIES: ["Eco-Net Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24005ms | REASON: Resolved via self-search
[2026-08-02T06:04:03.402Z] COMPANY: "Nuvama Mutual Fund" | QUERIES: ["Nuvama Mutual Fund" official website] | CANDIDATES: [https://www.nuvamaassetmanagement.com] | SELECTED: "https://www.nuvamaassetmanagement.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:04:03.821Z] COMPANY: "Carnelian Asset Management and Advisors Private Limited" | QUERIES: ["Carnelian Asset Management and Advisors Private Limited" official website] | CANDIDATES: [https://www.carnelianamc.com] | SELECTED: "https://www.carnelianamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:04:22.356Z] COMPANY: "TATA CAPITAL GROWTH FUND I" | QUERIES: ["TATA CAPITAL GROWTH FUND I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T06:04:22.356Z] COMPANY: "CHEEKOTEL PRIVATE LIMITED" | QUERIES: ["CHEEKOTEL PRIVATE LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T06:04:46.358Z] COMPANY: "NV INDIA TRUST" | QUERIES: ["NV INDIA TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T06:05:10.362Z] COMPANY: "TATA CAPITAL INNOVATIONS FUND LIMITED" | QUERIES: ["TATA CAPITAL INNOVATIONS FUND LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24004ms | REASON: Resolved via self-search
[2026-08-02T06:05:34.364Z] COMPANY: "I3E TRUST" | QUERIES: ["I3E TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T06:05:58.366Z] COMPANY: "TATA CAPITAL HEALTHCARE FUND I" | QUERIES: ["TATA CAPITAL HEALTHCARE FUND I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T06:06:22.368Z] COMPANY: "TATA CAPITAL SPECIAL SITUATIONS FUND - TRUST" | QUERIES: ["TATA CAPITAL SPECIAL SITUATIONS FUND - TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24002ms | REASON: Resolved via self-search
[2026-08-02T06:06:46.371Z] COMPANY: "SUBHKAM GROWTH FUND" | QUERIES: ["SUBHKAM GROWTH FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T06:07:10.374Z] COMPANY: "INDIA VALUE FUND IV" | QUERIES: ["INDIA VALUE FUND IV" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24003ms | REASON: Resolved via self-search
[2026-08-02T06:07:34.378Z] COMPANY: "LEAPSTART TRUST" | QUERIES: ["LEAPSTART TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24004ms | REASON: Resolved via self-search
[2026-08-02T06:07:58.379Z] COMPANY: "ADITYA BIRLA REAL ESTATE FUND" | QUERIES: ["ADITYA BIRLA REAL ESTATE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T06:08:22.380Z] COMPANY: "EMERGING INDIA FUND" | QUERIES: ["EMERGING INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24001ms | REASON: Resolved via self-search
[2026-08-02T06:08:46.381Z] COMPANY: "KARNATAKA INFORMATION TECHNOLOGY VENTURE CAPITAL FUND" | QUERIES: ["KARNATAKA INFORMATION TECHNOLOGY VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 24000ms | REASON: Resolved via self-search
[2026-08-02T06:34:16.487Z] COMPANY: "SEBI Official" | QUERIES: ["SEBI Official" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1ms | REASON: Resolved via self-search
[2026-08-02T06:34:16.488Z] COMPANY: "Example Corp" | QUERIES: ["Example Corp" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T06:35:09.384Z] COMPANY: "ADITYA BIRLA SUN LIFE MF" | QUERIES: ["ADITYA BIRLA SUN LIFE MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:35:09.385Z] COMPANY: "AXIS MF" | QUERIES: ["AXIS MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
