Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"560","Unassigned","Digitide Solutions Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Digitide_Solutions_Limited/screenshots/Digitide_Solutions_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"561","Unassigned","Digjam Limited","https://digjamaica.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Digjam_Limited/screenshots/Digjam_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@digjamaica.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@digjamaica.com"
"562","Unassigned","Diligent Media Corporation Limited","https://diligent.media","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Diligent_Media_Corporation_Limited/screenshots/Diligent_Media_Corporation_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@diligent.media","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@diligent.media"
"563","Unassigned","Dilip Buildcon Limited","https://dilipbuildcon.com","Yes","Yes","Yes","13","13","48","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dilip_Buildcon_Limited/screenshots/Dilip_Buildcon_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","contactus@dbl.co.in","Investor Grievance / Compliance Officer Email","Accessibility & Nodal Officer","rnt.helpdesk@linkintime.co.in"
"564","Unassigned","Disa India Limited","https://disa.mil","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Disa_India_Limited/screenshots/Disa_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@disa.mil","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@disa.mil"
"565","Unassigned","Dish TV India Limited","https://dishtv.in","Yes","Yes","Yes","8","8","68","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dish_TV_India_Limited/screenshots/Dish_TV_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@dishtv.in","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@dishtv.in"
"566","Unassigned","Dishman Carbogen Amcis Limited","https://imdcal.com","Yes","Yes","Yes","2","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dishman_Carbogen_Amcis_Limited/screenshots/Dishman_Carbogen_Amcis_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","vinodnair@dishmangroup.com","Investor Grievance / Compliance Officer Email","Accessibility & Nodal Officer","mumbai@linkintime.co.in"
"567","Unassigned","Divgi Torqtransfer Systems Limited","https://divgi-tts.com","Yes","Yes","Yes","9","9","64","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Divgi_Torqtransfer_Systems_Limited/screenshots/Divgi_Torqtransfer_Systems_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","support@consultum.com","General Contact Email","Accessibility & Nodal Officer","support@consultum.com"
"568","Unassigned","Divi's Laboratories Limited","https://divislabs.com","Yes","Yes","Yes","4","4","84","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Divi_s_Laboratories_Limited/screenshots/Divi_s_Laboratories_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@divislabs.com","General Contact Email","Accessibility & Nodal Officer","info@divislabs.com"
"569","Unassigned","Dixon Technologies (India) Limited","https://dixonplace.org","Yes","Yes","Yes","15","15","40","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dixon_Technologies__India__Limited/screenshots/Dixon_Technologies__India__Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@dixonplace.org","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@dixonplace.org"
"570","Unassigned","Dodla Dairy Limited","https://dodladairy.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dodla_Dairy_Limited/screenshots/Dodla_Dairy_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@dodladairy.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@dodladairy.com"
"571","Unassigned","Dolat Algotech Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dolat_Algotech_Limited/screenshots/Dolat_Algotech_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"572","Unassigned","Dollar Industries Limited","https://dollar-stationery.com","Yes","Yes","Yes","1","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dollar_Industries_Limited/screenshots/Dollar_Industries_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@dollar-stationery.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@dollar-stationery.com"
"573","Unassigned","Dolphin Offshore Enterprises (India) Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dolphin_Offshore_Enterprises__India__Limited/screenshots/Dolphin_Offshore_Enterprises__India__Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"574","Unassigned","Donear Industries Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Donear_Industries_Limited/screenshots/Donear_Industries_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"575","Unassigned","Dr Agarwals Eye Hospital Limited","https://dragarwal.com","Yes","Yes","Yes","1","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dr_Agarwals_Eye_Hospital_Limited/screenshots/Dr_Agarwals_Eye_Hospital_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@dragarwal.com","General Contact Email","Accessibility & Nodal Officer","info@dragarwal.com"
"576","Unassigned","Dr. Agarwal's Health Care Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dr__Agarwal_s_Health_Care_Limited/screenshots/Dr__Agarwal_s_Health_Care_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"577","Unassigned","Dr. Reddy's Laboratories Limited","https://drreddys.com","Yes","Yes","Yes","1","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dr__Reddy_s_Laboratories_Limited/screenshots/Dr__Reddy_s_Laboratories_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@drreddys.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@drreddys.com"
"578","Unassigned","Dreamfolks Services Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dreamfolks_Services_Limited/screenshots/Dreamfolks_Services_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"579","Unassigned","Dredging Corporation of India Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dredging_Corporation_of_India_Limited/screenshots/Dredging_Corporation_of_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"580","Unassigned","Ducon Infratechnologies Limited","https://duconinfra.co.in","Yes","Yes","Yes","1","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Ducon_Infratechnologies_Limited/screenshots/Ducon_Infratechnologies_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","sales@duconinfra.co.in","General Contact Email","Accessibility & Nodal Officer","sales@duconinfra.co.in"
"581","Unassigned","Dwarikesh Sugar Industries Limited","https://dwarikesh.com","Yes","Yes","Yes","35","35","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dwarikesh_Sugar_Industries_Limited/screenshots/Dwarikesh_Sugar_Industries_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","investors@dwarikesh.com","General Contact Email","Accessibility & Nodal Officer","investors@dwarikesh.com"
"582","Unassigned","Dynacons Systems & Solutions Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dynacons_Systems___Solutions_Limited/screenshots/Dynacons_Systems___Solutions_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"583","Unassigned","Dynamatic Technologies Limited","https://dynamatics.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dynamatic_Technologies_Limited/screenshots/Dynamatic_Technologies_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"584","Unassigned","Dynamic Cables Limited","https://dynamiccables.co.in","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dynamic_Cables_Limited/screenshots/Dynamic_Cables_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@dynamiccables.co.in","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@dynamiccables.co.in"
"585","Unassigned","Dynemic Products Limited","https://dynemic.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Dynemic_Products_Limited/screenshots/Dynemic_Products_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"586","Unassigned","E2E Networks Limited","https://e2enetworks.com","Yes","Yes","Yes","2","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/E2E_Networks_Limited/screenshots/E2E_Networks_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","sales@e2enetworks.com","General Contact Email","Accessibility & Nodal Officer","sales@e2enetworks.com"
"587","Unassigned","EFC (I) Limited","https://efc-intl.com","Yes","Yes","Yes","28","28","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/EFC__I__Limited/screenshots/EFC__I__Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@efc-intl.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@efc-intl.com"
"588","Unassigned","EID Parry India Limited","https://eidparry.com","Yes","Yes","Yes","44","44","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/EID_Parry_India_Limited/screenshots/EID_Parry_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@eidparry.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@eidparry.com"
"589","Unassigned","EIH Associated Hotels Limited","https://eihassociatedhotels.in","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/EIH_Associated_Hotels_Limited/screenshots/EIH_Associated_Hotels_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"590","Unassigned","EIH Limited","https://eihltd.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/EIH_Limited/screenshots/EIH_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"591","Unassigned","EL CID Investments Limited","https://elcidinvestments.com","Yes","Yes","Yes","6","6","76","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/EL_CID_Investments_Limited/screenshots/EL_CID_Investments_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","vakilgroup@gmail.com","General Contact Email","Accessibility & Nodal Officer","vakilgroup@gmail.com"
"592","Unassigned","EMS Limited","https://emslimited.co.ke","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/EMS_Limited/screenshots/EMS_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@emslimited.co.ke","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@emslimited.co.ke"
"593","Unassigned","EPACK Durable Limited","https://epackdurable.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/EPACK_Durable_Limited/screenshots/EPACK_Durable_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"594","Unassigned","EPL Limited","https://eplglobal.com","Yes","Yes","Yes","26","26","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/EPL_Limited/screenshots/EPL_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@eplglobal.com","General Contact Email","Accessibility & Nodal Officer","info@eplglobal.com"
"595","Unassigned","EPack Prefab Technologies Limited","https://epackpolymers.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/EPack_Prefab_Technologies_Limited/screenshots/EPack_Prefab_Technologies_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"596","Unassigned","ESAF Small Finance Bank Limited","https://esafbank.com","Yes","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/ESAF_Small_Finance_Bank_Limited/screenshots/ESAF_Small_Finance_Bank_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@esafbank.com","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","info@esafbank.com"
"597","Unassigned","ETERNAL LIMITED","https://epm.org","Yes","Yes","Yes","1","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/ETERNAL_LIMITED/screenshots/ETERNAL_LIMITED_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","email@example.com","General Contact Email","Accessibility & Nodal Officer","email@example.com"
"598","Unassigned","Eastern Silk Industries Limited","https://easternsilk.com","Yes","Yes","Yes","1","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Eastern_Silk_Industries_Limited/screenshots/Eastern_Silk_Industries_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","cs@easternsilk.com","General Contact Email","Accessibility & Nodal Officer","cs@easternsilk.com"
"599","Unassigned","Easy Trip Planners Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Easy_Trip_Planners_Limited/screenshots/Easy_Trip_Planners_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"600","Unassigned","Ecos (India) Mobility & Hospitality Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Ecos__India__Mobility___Hospitality_Limited/screenshots/Ecos__India__Mobility___Hospitality_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"601","Unassigned","Edelweiss Financial Services Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Edelweiss_Financial_Services_Limited/screenshots/Edelweiss_Financial_Services_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"602","Unassigned","Eicher Motors Limited","https://eicher.in","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Eicher_Motors_Limited/screenshots/Eicher_Motors_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"603","Unassigned","Eimco Elecon (India) Limited","https://eimcoelecon.in","Yes","Yes","Yes","30","30","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Eimco_Elecon__India__Limited/screenshots/Eimco_Elecon__India__Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","info@eimco.elecon.com","Investor Grievance / Compliance Officer Email","Accessibility & Nodal Officer","investor@eimcoelecon.in"
"604","Unassigned","Elantas Beck India Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Elantas_Beck_India_Limited/screenshots/Elantas_Beck_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"605","Unassigned","Eldeco Housing And Industries Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Eldeco_Housing_And_Industries_Limited/screenshots/Eldeco_Housing_And_Industries_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
"606","Unassigned","Elecon Engineering Company Limited","https://elecon.com","Yes","No","No","","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Elecon_Engineering_Company_Limited/screenshots/Elecon_Engineering_Company_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","N/A","N/A","N/A","Not Found"
"607","Unassigned","Electronics Mart India Limited","https://electronicsmartindia.com","Yes","Yes","Yes","13","13","48","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Electronics_Mart_India_Limited/screenshots/Electronics_Mart_India_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","communications@bajajelectronics.in","General Contact Email","Accessibility & Nodal Officer","communications@bajajelectronics.in"
"608","Unassigned","Electrosteel Castings Limited","https://Not Found","No","Yes","Yes","","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.1_nse_tracker_enriched_clearbit_20260806_193605_attempt1_succesful_reviewnotdone_orchavatecore_digital/Electrosteel_Castings_Limited/screenshots/Electrosteel_Castings_Limited_Homepage_WAVE_Overlay.png)","N/A","Head of Compliance & Digital Governance","Not Found","General Contact Email (Guessed Pattern)","Accessibility & Nodal Officer","Not Found"
